"","Trial","Cond","Subject","Hit","RT"
"67",17,"condB","s1",1,722.432667580251
"68",18,"condB","s1",1,615.375594417708
"69",19,"condB","s1",1,746.373013393872
"70",20,"condB","s1",1,466.425654016384
"71",21,"condB","s1",1,572.112733380008
"72",22,"condB","s1",1,572.070877593105
"73",23,"condB","s1",1,561.329746369486
"74",24,"condB","s1",1,608.194469954693
"75",25,"condB","s1",1,438.504543071901
"76",26,"condB","s1",1,592.113778959426
"77",27,"condB","s1",0,592.05765269271
"78",28,"condB","s1",1,314.859521008151
"79",29,"condB","s1",1,650.304985000438
"80",30,"condB","s1",1,315.345654105271
"81",31,"condB","s1",1,355.146395732027
"82",32,"condB","s1",1,268.918324127897
"83",33,"condB","s1",1,300.643221307304
"84",34,"condB","s1",1,161.093439169634
"85",35,"condB","s1",1,276.242360004954
"86",36,"condB","s1",0,379.26448891582
"87",37,"condB","s1",1,61.4352268089598
"88",38,"condB","s1",1,167.885141267034
"89",39,"condB","s1",1,-44.8234527364138
"90",40,"condB","s1",1,-49.4744493656453
"91",41,"condB","s1",1,85.4942266524312
"92",42,"condB","s1",0,70.9909833957581
"93",43,"condB","s1",1,-75.8534534494386
"94",44,"condB","s1",1,-62.7641565549473
"95",45,"condB","s1",1,-139.78384590265
"96",46,"condB","s1",1,100.265880897723
"97",47,"condB","s1",1,-225.048125043389
"98",48,"condB","s1",1,-77.6843821011426
"99",49,"condB","s1",1,-278.953291573325
"100",50,"condB","s1",0,-331.080704690348
"101",1,"condA","s2",1,1261.01516247552
"102",2,"condA","s2",1,1023.17649130901
"103",3,"condA","s2",1,1091.56544351724
"104",4,"condA","s2",1,1048.56397594565
"105",5,"condA","s2",1,1105.64393597546
"106",6,"condA","s2",1,1131.25048138061
"107",7,"condA","s2",1,964.629681697634
"108",8,"condA","s2",1,1133.83394862492
"109",9,"condA","s2",1,1134.32195586074
"110",10,"condA","s2",1,812.267540651439
"111",11,"condA","s2",1,1127.01439165167
"112",12,"condA","s2",1,815.240881992973
"113",13,"condA","s2",1,888.02603236299
"114",14,"condA","s2",1,826.652550012645
"115",15,"condA","s2",1,842.536686086956
"116",16,"condA","s2",1,674.126964673908
"117",17,"condA","s2",0,765.243831998292
"118",18,"condA","s2",1,893.950557835541
"119",19,"condA","s2",1,585.406577549572
"120",20,"condA","s2",1,700.826270654595
"121",21,"condA","s2",1,515.760409620294
"122",22,"condA","s2",1,460.961071108537
"123",23,"condA","s2",1,575.583227157387
"124",24,"condA","s2",1,561.270713451739
"125",25,"condA","s2",1,421.373830550244
"126",26,"condA","s2",1,473.065303400168
"127",27,"condA","s2",1,406.284001631871
"128",28,"condA","s2",1,625.123155730153
"129",29,"condA","s2",1,283.403324196366
"130",30,"condA","s2",1,413.535282574112
"131",31,"condA","s2",0,261.904042064666
"132",32,"condA","s2",1,189.375244206703
"133",33,"condA","s2",1,301.015162475515
"134",34,"condA","s2",1,63.1764913090075
"135",35,"condA","s2",1,131.565443517236
"136",36,"condA","s2",1,88.5639759456513
"137",37,"condA","s2",1,145.643935975458
"138",38,"condA","s2",1,171.25048138061
"139",39,"condA","s2",1,4.62968169763411
"140",40,"condA","s2",1,173.833948624924
"141",41,"condA","s2",1,174.321955860739
"142",42,"condA","s2",1,-147.732459348561
"143",43,"condA","s2",1,167.014391651673
"144",44,"condA","s2",1,-144.759118007027
"145",45,"condA","s2",1,-71.9739676370102
"146",46,"condA","s2",0,-133.347449987355
"147",47,"condA","s2",1,-117.463313913044
"148",48,"condA","s2",0,-285.873035326092
"149",49,"condA","s2",1,-194.756168001708
"150",50,"condA","s2",1,-66.049442164459
"151",1,"condB","s2",1,1143.48902901458
"152",2,"condB","s2",1,1271.19506940367
"153",3,"condB","s2",1,1060.69049881539
"154",4,"condB","s2",1,1013.92608060856
"155",5,"condB","s2",1,1136.95020465538
"156",6,"condB","s2",1,1159.90194112343
"157",7,"condB","s2",1,1001.48722063876
"158",8,"condB","s2",1,1049.74035705382
"159",9,"condB","s2",1,988.742566057379
"160",10,"condB","s2",1,1193.42628532367
"161",11,"condB","s2",1,870.26818102402
"162",12,"condB","s2",1,948.758192499347
"163",13,"condB","s2",1,816.306625759797
"164",14,"condB","s2",1,764.382883074281
"165",15,"condB","s2",1,868.875009779962
"166",16,"condB","s2",1,632.294556414549
"167",17,"condB","s2",1,694.27768473827
"168",18,"condB","s2",1,680.438204424874
"169",19,"condB","s2",1,742.096102656512
"170",20,"condB","s2",1,738.575505918271
"171",21,"condB","s2",0,583.542031658863
"172",22,"condB","s2",1,745.223398955443
"173",23,"condB","s2",1,741.369692103094
"174",24,"condB","s2",1,382.484068532108
"175",25,"condB","s2",1,755.24080935393
"176",26,"condB","s2",1,404.499379035564
"177",27,"condB","s2",1,477.691609839235
"178",28,"condB","s2",1,450.911915178568
"179",29,"condB","s2",1,484.935962775498
"180",30,"condB","s2",1,288.795867366142
"181",31,"condB","s2",1,406.262311476677
"182",32,"condB","s2",1,498.643169264399
"183",33,"condB","s2",1,201.916858932773
"184",34,"condB","s2",1,299.770602536526
"185",35,"condB","s2",1,125.421133258277
"186",36,"condB","s2",1,57.4349140559388
"187",37,"condB","s2",1,172.983374875874
"188",38,"condB","s2",1,161.854565945354
"189",39,"condB","s2",1,34.9642575070766
"190",40,"condB","s2",1,104.351690920461
"191",41,"condB","s2",1,-6.78221070725738
"192",42,"condB","s2",1,253.844716232964
"193",43,"condB","s2",1,-94.6803548614977
"194",44,"condB","s2",1,-4.5815293264871
"195",45,"condB","s2",1,-176.031468711339
"196",46,"condB","s2",1,-217.005346664729
"197",47,"condB","s2",1,-66.8771315497013
"198",48,"condB","s2",1,-332.716588910091
"199",49,"condB","s2",1,-293.207603948506
"200",50,"condB","s2",1,-323.718865988134
"201",1,"condA","s3",1,1225.64393597546
"202",2,"condA","s3",1,1251.25048138061
"203",3,"condA","s3",1,1084.62968169763
"204",4,"condA","s3",1,1253.83394862492
"205",5,"condA","s3",1,1254.32195586074
"206",6,"condA","s3",1,932.267540651439
"207",7,"condA","s3",1,1247.01439165167
"208",8,"condA","s3",1,935.240881992973
"209",9,"condA","s3",1,1008.02603236299
"210",10,"condA","s3",1,946.652550012645
"211",11,"condA","s3",1,962.536686086956
"212",12,"condA","s3",1,794.126964673908
"213",13,"condA","s3",1,885.243831998292
"214",14,"condA","s3",1,1013.95055783554
"215",15,"condA","s3",1,705.406577549572
"216",16,"condA","s3",0,820.826270654595
"217",17,"condA","s3",1,635.760409620294
"218",18,"condA","s3",1,580.961071108537
"219",19,"condA","s3",1,695.583227157387
"220",20,"condA","s3",1,681.270713451739
"221",21,"condA","s3",1,541.373830550244
"222",22,"condA","s3",0,593.065303400168
"223",23,"condA","s3",1,526.284001631871
"224",24,"condA","s3",1,745.123155730153
"225",25,"condA","s3",1,403.403324196366
"226",26,"condA","s3",1,533.535282574112
"227",27,"condA","s3",1,381.904042064666
"228",28,"condA","s3",1,309.375244206703
"229",29,"condA","s3",1,421.015162475515
"230",30,"condA","s3",1,183.176491309007
"231",31,"condA","s3",1,251.565443517236
"232",32,"condA","s3",1,208.563975945651
"233",33,"condA","s3",1,265.643935975458
"234",34,"condA","s3",1,291.25048138061
"235",35,"condA","s3",1,124.629681697634
"236",36,"condA","s3",1,293.833948624924
"237",37,"condA","s3",0,294.321955860739
"238",38,"condA","s3",1,-27.7324593485608
"239",39,"condA","s3",1,287.014391651673
"240",40,"condA","s3",1,-24.7591180070273
"241",41,"condA","s3",1,48.0260323629898
"242",42,"condA","s3",1,-13.3474499873548
"243",43,"condA","s3",1,2.53668608695571
"244",44,"condA","s3",1,-165.873035326092
"245",45,"condA","s3",1,-74.7561680017083
"246",46,"condA","s3",1,53.950557835541
"247",47,"condA","s3",1,-254.593422450428
"248",48,"condA","s3",1,-139.173729345405
"249",49,"condA","s3",1,-324.239590379706
"250",50,"condA","s3",0,-379.038928891463
"251",1,"condB","s3",1,1253.74049362946
"252",2,"condB","s3",1,1253.72842644472
"253",3,"condB","s3",1,1094.90348975608
"254",4,"condB","s3",1,1163.22602163921
"255",5,"condB","s3",1,1080.82202505356
"256",6,"condB","s3",1,1283.99507857167
"257",7,"condB","s3",1,940.226188962455
"258",8,"condB","s3",1,1097.13827626043
"259",9,"condB","s3",1,947.285785517973
"260",10,"condB","s3",1,891.312825258097
"261",11,"condB","s3",1,994.133395316176
"262",12,"condB","s3",0,738.870327370837
"263",13,"condB","s3",1,838.657224894275
"264",14,"condB","s3",1,766.710802944815
"265",15,"condB","s3",1,810.595234881124
"266",16,"condB","s3",1,841.713183686182
"267",17,"condB","s3",1,690.600954997645
"268",18,"condB","s3",1,854.912255332211
"269",19,"condB","s3",1,849.183119083876
"270",20,"condB","s3",0,519.656679476936
"271",21,"condB","s3",1,842.425358160523
"272",22,"condB","s3",1,560.86666470938
"273",23,"condB","s3",1,633.146557446553
"274",24,"condB","s3",0,543.41441530034
"275",25,"condB","s3",1,572.178662909195
"276",26,"condB","s3",0,382.98168840035
"277",27,"condB","s3",1,468.612430757702
"278",28,"condB","s3",1,607.521771242122
"279",29,"condB","s3",1,317.812044294547
"280",30,"condB","s3",0,429.298113643083
"281",31,"condB","s3",1,223.567344692783
"282",32,"condB","s3",1,143.28787308781
"283",33,"condB","s3",1,299.652699665825
"284",34,"condB","s3",1,292.295912737333
"285",35,"condB","s3",1,142.818985496177
"286",36,"condB","s3",1,229.745008869014
"287",37,"condB","s3",1,114.012851317584
"288",38,"condB","s3",1,323.45299710603
"289",39,"condB","s3",0,4.42575678212563
"290",40,"condB","s3",1,130.915474935828
"291",41,"condB","s3",1,-15.2777884296227
"292",42,"condB","s3",1,-81.6379619274746
"293",43,"condB","s3",1,39.6922540733778
"294",44,"condB","s3",1,-215.013013540077
"295",45,"condB","s3",1,-136.131663952889
"296",46,"condB","s3",1,-206.222634109027
"297",47,"condB","s3",1,-119.057276840209
"298",48,"condB","s3",1,-110.439488931573
"299",49,"condB","s3",1,-285.121343156536
"300",50,"condB","s3",1,-79.4242082922103
"301",1,"condA","s4",1,1374.32195586074
"302",2,"condA","s4",0,1052.26754065144
"303",3,"condA","s4",1,1367.01439165167
"304",4,"condA","s4",1,1055.24088199297
"305",5,"condA","s4",0,1128.02603236299
"306",6,"condA","s4",1,1066.65255001265
"307",7,"condA","s4",1,1082.53668608696
"308",8,"condA","s4",0,914.126964673908
"309",9,"condA","s4",1,1005.24383199829
"310",10,"condA","s4",1,1133.95055783554
"311",11,"condA","s4",1,825.406577549572
"312",12,"condA","s4",1,940.826270654595
"313",13,"condA","s4",1,755.760409620294
"314",14,"condA","s4",1,700.961071108537
"315",15,"condA","s4",1,815.583227157387
"316",16,"condA","s4",1,801.270713451739
"317",17,"condA","s4",1,661.373830550244
"318",18,"condA","s4",0,713.065303400168
"319",19,"condA","s4",1,646.284001631871
"320",20,"condA","s4",1,865.123155730153
"321",21,"condA","s4",1,523.403324196366
"322",22,"condA","s4",1,653.535282574112
"323",23,"condA","s4",1,501.904042064666
"324",24,"condA","s4",1,429.375244206703
"325",25,"condA","s4",1,541.015162475515
"326",26,"condA","s4",1,303.176491309007
"327",27,"condA","s4",1,371.565443517236
"328",28,"condA","s4",1,328.563975945651
"329",29,"condA","s4",1,385.643935975458
"330",30,"condA","s4",1,411.25048138061
"331",31,"condA","s4",1,244.629681697634
"332",32,"condA","s4",0,413.833948624924
"333",33,"condA","s4",1,414.321955860739
"334",34,"condA","s4",1,92.2675406514392
"335",35,"condA","s4",0,407.014391651673
"336",36,"condA","s4",1,95.2408819929727
"337",37,"condA","s4",1,168.02603236299
"338",38,"condA","s4",1,106.652550012645
"339",39,"condA","s4",1,122.536686086956
"340",40,"condA","s4",0,-45.8730353260919
"341",41,"condA","s4",1,45.2438319982917
"342",42,"condA","s4",1,173.950557835541
"343",43,"condA","s4",1,-134.593422450428
"344",44,"condA","s4",1,-19.1737293454049
"345",45,"condA","s4",1,-204.239590379706
"346",46,"condA","s4",1,-259.038928891463
"347",47,"condA","s4",1,-144.416772842613
"348",48,"condA","s4",1,-158.729286548261
"349",49,"condA","s4",1,-298.626169449756
"350",50,"condA","s4",1,-246.934696599832
"351",1,"condB","s4",1,1228.41089395593
"352",2,"condB","s4",0,1410.6508677195
"353",3,"condB","s4",1,1067.62153014701
"354",4,"condB","s4",1,1243.58909890367
"355",5,"condB","s4",1,1058.18747849923
"356",6,"condB","s4",1,1002.10672343514
"357",7,"condB","s4",1,1119.02988034747
"358",8,"condB","s4",1,862.196919755104
"359",9,"condB","s4",1,966.510683041301
"360",10,"condB","s4",1,856.603124335727
"361",11,"condB","s4",1,983.333515626334
"362",12,"condB","s4",1,965.069706949721
"363",13,"condB","s4",1,820.485725938785
"364",14,"condB","s4",1,981.552894578321
"365",15,"condB","s4",1,993.544073586075
"366",16,"condB","s4",1,657.681526805132
"367",17,"condB","s4",1,956.517704283149
"368",18,"condB","s4",1,655.613654126942
"369",19,"condB","s4",1,747.179271299445
"370",20,"condB","s4",1,627.761007871183
"371",21,"condB","s4",1,687.798691505581
"372",22,"condB","s4",1,515.649042423633
"373",23,"condB","s4",1,612.375178440685
"374",24,"condB","s4",1,730.360098739848
"375",25,"condB","s4",1,410.403825652469
"376",26,"condB","s4",1,541.344073504772
"377",27,"condB","s4",1,369.076837477379
"378",28,"condB","s4",1,314.376166969802
"379",29,"condB","s4",0,423.081265802384
"380",30,"condB","s4",1,420.360899840369
"381",31,"condB","s4",1,261.07539811501
"382",32,"condB","s4",1,314.519470586253
"383",33,"condB","s4",0,258.043615726529
"384",34,"condB","s4",1,493.365752556728
"385",35,"condB","s4",1,141.764283714951
"386",36,"condB","s4",1,320.227354458667
"387",37,"condB","s4",0,125.771507944906
"388",38,"condB","s4",1,53.3075587930899
"389",39,"condB","s4",1,169.939870041138
"390",40,"condB","s4",1,-84.3346974398099
"391",41,"condB","s4",1,-62.7061812488559
"392",42,"condB","s4",1,-78.8928499054114
"393",43,"condB","s4",1,12.3064183089394
"394",44,"condB","s4",1,-21.7026232967259
"395",45,"condB","s4",0,-171.556747669545
"396",46,"condB","s4",1,23.6468841257609
"397",47,"condB","s4",1,25.8959096635838
"398",48,"condB","s4",0,-291.683711191949
"399",49,"condB","s4",1,3.70775633411546
"400",50,"condB","s4",1,-295.30727523306
"401",1,"condA","s5",1,1248.02603236299
"402",2,"condA","s5",1,1186.65255001265
"403",3,"condA","s5",1,1202.53668608696
"404",4,"condA","s5",1,1034.12696467391
"405",5,"condA","s5",0,1125.24383199829
"406",6,"condA","s5",1,1253.95055783554
"407",7,"condA","s5",1,945.406577549572
"408",8,"condA","s5",1,1060.8262706546
"409",9,"condA","s5",1,875.760409620294
"410",10,"condA","s5",1,820.961071108537
"411",11,"condA","s5",1,935.583227157387
"412",12,"condA","s5",1,921.270713451739
"413",13,"condA","s5",0,781.373830550244
"414",14,"condA","s5",1,833.065303400168
"415",15,"condA","s5",0,766.284001631871
"416",16,"condA","s5",1,985.123155730153
"417",17,"condA","s5",1,643.403324196366
"418",18,"condA","s5",1,773.535282574112
"419",19,"condA","s5",1,621.904042064666
"420",20,"condA","s5",1,549.375244206703
"421",21,"condA","s5",1,661.015162475515
"422",22,"condA","s5",1,423.176491309007
"423",23,"condA","s5",1,491.565443517236
"424",24,"condA","s5",0,448.563975945651
"425",25,"condA","s5",1,505.643935975458
"426",26,"condA","s5",1,531.250481380609
"427",27,"condA","s5",1,364.629681697634
"428",28,"condA","s5",1,533.833948624924
"429",29,"condA","s5",0,534.321955860739
"430",30,"condA","s5",1,212.267540651439
"431",31,"condA","s5",1,527.014391651673
"432",32,"condA","s5",1,215.240881992973
"433",33,"condA","s5",0,288.02603236299
"434",34,"condA","s5",1,226.652550012645
"435",35,"condA","s5",1,242.536686086956
"436",36,"condA","s5",1,74.1269646739081
"437",37,"condA","s5",1,165.243831998292
"438",38,"condA","s5",1,293.950557835541
"439",39,"condA","s5",1,-14.5934224504276
"440",40,"condA","s5",1,100.826270654595
"441",41,"condA","s5",1,-84.2395903797061
"442",42,"condA","s5",1,-139.038928891463
"443",43,"condA","s5",1,-24.4167728426134
"444",44,"condA","s5",1,-38.7292865482609
"445",45,"condA","s5",1,-178.626169449756
"446",46,"condA","s5",1,-126.934696599832
"447",47,"condA","s5",1,-193.715998368129
"448",48,"condA","s5",1,25.1231557301534
"449",49,"condA","s5",1,-316.596675803634
"450",50,"condA","s5",1,-186.464717425888
"451",1,"condB","s5",1,1182.10209370139
"452",2,"condB","s5",1,1150.90437593371
"453",3,"condB","s5",1,1234.37365453788
"454",4,"condB","s5",1,986.780789101424
"455",5,"condB","s5",1,1058.00963681734
"456",6,"condB","s5",1,1006.19300154605
"457",7,"condB","s5",1,1059.45884846992
"458",8,"condB","s5",1,1113.76138633714
"459",9,"condB","s5",1,968.511431913186
"460",10,"condB","s5",1,1117.652171135
"461",11,"condB","s5",1,1124.09652997506
"462",12,"condB","s5",0,803.577264790659
"463",13,"condB","s5",1,1057.07214834678
"464",14,"condB","s5",1,768.89012304617
"465",15,"condB","s5",0,870.523539898678
"466",16,"condB","s5",1,751.051020475371
"467",17,"condB","s5",0,763.485277341554
"468",18,"condB","s5",1,614.157780700821
"469",19,"condB","s5",1,742.445400694855
"470",20,"condB","s5",1,834.321228878062
"471",21,"condB","s5",1,585.99643017233
"472",22,"condB","s5",1,671.19037445321
"473",23,"condB","s5",1,475.181728519157
"474",24,"condB","s5",1,396.115662849869
"475",25,"condB","s5",1,546.509332836222
"476",26,"condB","s5",1,533.414252403222
"477",27,"condB","s5",1,376.367112550912
"478",28,"condB","s5",1,414.904224431509
"479",29,"condB","s5",1,384.866485452217
"480",30,"condB","s5",0,554.855902137454
"481",31,"condB","s5",1,218.936656164606
"482",32,"condB","s5",1,383.174424342642
"483",33,"condB","s5",0,222.990148090705
"484",34,"condB","s5",1,162.128353299209
"485",35,"condB","s5",1,289.412086321095
"486",36,"condB","s5",1,2.0715322822922
"487",37,"condB","s5",1,92.1389436900322
"488",38,"condB","s5",1,63.8760603490205
"489",39,"condB","s5",1,100.358375807246
"490",40,"condB","s5",1,132.846401004722
"491",41,"condB","s5",1,-54.2838658596356
"492",42,"condB","s5",1,162.592794495096
"493",43,"condB","s5",1,126.627687830697
"494",44,"condB","s5",1,-210.330983154903
"495",45,"condB","s5",1,156.969235671186
"496",46,"condB","s5",1,-192.288206785054
"497",47,"condB","s5",1,-85.9744286659862
"498",48,"condB","s5",0,-155.374756094654
"499",49,"condB","s5",1,-139.878428116332
"500",50,"condB","s5",0,-316.063203043728
"501",1,"condA","s6",1,1245.24383199829
"502",2,"condA","s6",1,1373.95055783554
"503",3,"condA","s6",1,1065.40657754957
"504",4,"condA","s6",1,1180.8262706546
"505",5,"condA","s6",1,995.760409620294
"506",6,"condA","s6",1,940.961071108537
"507",7,"condA","s6",1,1055.58322715739
"508",8,"condA","s6",1,1041.27071345174
"509",9,"condA","s6",1,901.373830550244
"510",10,"condA","s6",1,953.065303400168
"511",11,"condA","s6",1,886.284001631871
"512",12,"condA","s6",1,1105.12315573015
"513",13,"condA","s6",1,763.403324196366
"514",14,"condA","s6",1,893.535282574112
"515",15,"condA","s6",1,741.904042064666
"516",16,"condA","s6",1,669.375244206703
"517",17,"condA","s6",1,781.015162475515
"518",18,"condA","s6",1,543.176491309007
"519",19,"condA","s6",1,611.565443517236
"520",20,"condA","s6",1,568.563975945651
"521",21,"condA","s6",0,625.643935975458
"522",22,"condA","s6",1,651.250481380609
"523",23,"condA","s6",1,484.629681697634
"524",24,"condA","s6",1,653.833948624924
"525",25,"condA","s6",1,654.321955860739
"526",26,"condA","s6",1,332.267540651439
"527",27,"condA","s6",1,647.014391651673
"528",28,"condA","s6",1,335.240881992973
"529",29,"condA","s6",0,408.02603236299
"530",30,"condA","s6",1,346.652550012645
"531",31,"condA","s6",1,362.536686086956
"532",32,"condA","s6",1,194.126964673908
"533",33,"condA","s6",1,285.243831998292
"534",34,"condA","s6",1,413.950557835541
"535",35,"condA","s6",1,105.406577549572
"536",36,"condA","s6",1,220.826270654595
"537",37,"condA","s6",1,35.7604096202939
"538",38,"condA","s6",1,-19.0389288914625
"539",39,"condA","s6",1,95.5832271573866
"540",40,"condA","s6",1,81.2707134517391
"541",41,"condA","s6",1,-58.6261694497561
"542",42,"condA","s6",1,-6.93469659983195
"543",43,"condA","s6",1,-73.7159983681295
"544",44,"condA","s6",1,145.123155730153
"545",45,"condA","s6",1,-196.596675803634
"546",46,"condA","s6",0,-66.4647174258876
"547",47,"condA","s6",1,-218.095957935334
"548",48,"condA","s6",1,-290.624755793297
"549",49,"condA","s6",1,-178.984837524485
"550",50,"condA","s6",0,-416.823508690993
"551",1,"condB","s6",1,1153.48472665892
"552",2,"condB","s6",1,1163.82561573197
"553",3,"condB","s6",1,1179.73421852404
"554",4,"condB","s6",1,1233.32791670735
"555",5,"condB","s6",1,1072.87509789778
"556",6,"condB","s6",1,1219.90046309815
"557",7,"condB","s6",0,1225.54880778956
"558",8,"condB","s6",0,892.032876212356
"559",9,"condB","s6",0,1156.00988491053
"560",10,"condB","s6",1,879.03157045636
"561",11,"condB","s6",1,1000.70642542032
"562",12,"condB","s6",1,904.532685215672
"563",13,"condB","s6",1,943.838125818548
"564",14,"condB","s6",1,738.886171609769
"565",15,"condB","s6",0,857.622685565879
"566",16,"condB","s6",1,968.404030425935
"567",17,"condB","s6",1,708.6532568072
"568",18,"condB","s6",1,747.16764364714
"569",19,"condB","s6",1,570.755400460283
"570",20,"condB","s6",1,537.65133710285
"571",21,"condB","s6",1,669.096544771347
"572",22,"condB","s6",1,631.148091533163
"573",23,"condB","s6",1,516.416572606579
"574",24,"condB","s6",1,586.275249317038
"575",25,"condB","s6",1,462.171727978015
"576",26,"condB","s6",1,721.489643872852
"577",27,"condB","s6",1,331.509402315618
"578",28,"condB","s6",1,511.168266982661
"579",29,"condB","s6",1,358.604185723472
"580",30,"condB","s6",1,286.360784334086
"581",31,"condB","s6",1,414.702703313211
"582",32,"condB","s6",1,120.31047247654
"583",33,"condB","s6",0,252.074254196937
"584",34,"condB","s6",1,192.012920885843
"585",35,"condB","s6",1,238.909136856131
"586",36,"condB","s6",1,250.541978602338
"587",37,"condB","s6",1,98.9585911340318
"588",38,"condB","s6",1,255.307984227235
"589",39,"condB","s6",1,266.433144169224
"590",40,"condB","s6",1,-76.3588368500623
"591",41,"condB","s6",1,251.269432501986
"592",42,"condB","s6",1,-43.4701455127819
"593",43,"condB","s6",1,31.0941568996644
"594",44,"condB","s6",0,-47.0337927414899
"595",45,"condB","s6",1,-55.887607278201
"596",46,"condB","s6",1,-199.338164522861
"597",47,"condB","s6",1,-118.547335714151
"598",48,"condB","s6",1,11.2446015312711
"599",49,"condB","s6",1,-256.277240401505
"600",50,"condB","s6",1,-160.42602685746
"601",1,"condA","s7",1,1115.76040962029
"602",2,"condA","s7",1,1060.96107110854
"603",3,"condA","s7",1,1175.58322715739
"604",4,"condA","s7",1,1161.27071345174
"605",5,"condA","s7",1,1021.37383055024
"606",6,"condA","s7",1,1073.06530340017
"607",7,"condA","s7",1,1006.28400163187
"608",8,"condA","s7",1,1225.12315573015
"609",9,"condA","s7",1,883.403324196366
"610",10,"condA","s7",1,1013.53528257411
"611",11,"condA","s7",1,861.904042064666
"612",12,"condA","s7",1,789.375244206703
"613",13,"condA","s7",1,901.015162475515
"614",14,"condA","s7",1,663.176491309007
"615",15,"condA","s7",1,731.565443517236
"616",16,"condA","s7",1,688.563975945651
"617",17,"condA","s7",1,745.643935975458
"618",18,"condA","s7",1,771.250481380609
"619",19,"condA","s7",1,604.629681697634
"620",20,"condA","s7",1,773.833948624924
"621",21,"condA","s7",1,774.321955860739
"622",22,"condA","s7",1,452.267540651439
"623",23,"condA","s7",1,767.014391651673
"624",24,"condA","s7",1,455.240881992973
"625",25,"condA","s7",1,528.02603236299
"626",26,"condA","s7",1,466.652550012645
"627",27,"condA","s7",1,482.536686086956
"628",28,"condA","s7",1,314.126964673908
"629",29,"condA","s7",0,405.243831998292
"630",30,"condA","s7",1,533.950557835541
"631",31,"condA","s7",1,225.406577549572
"632",32,"condA","s7",1,340.826270654595
"633",33,"condA","s7",1,155.760409620294
"634",34,"condA","s7",1,100.961071108537
"635",35,"condA","s7",1,215.583227157387
"636",36,"condA","s7",1,201.270713451739
"637",37,"condA","s7",1,61.3738305502439
"638",38,"condA","s7",1,113.065303400168
"639",39,"condA","s7",0,46.2840016318705
"640",40,"condA","s7",1,265.123155730153
"641",41,"condA","s7",0,-76.5966758036337
"642",42,"condA","s7",1,53.5352825741124
"643",43,"condA","s7",1,-98.095957935334
"644",44,"condA","s7",1,-170.624755793297
"645",45,"condA","s7",1,-58.9848375244847
"646",46,"condA","s7",1,-296.823508690993
"647",47,"condA","s7",1,-228.434556482764
"648",48,"condA","s7",1,-271.436024054349
"649",49,"condA","s7",1,-214.356064024542
"650",50,"condA","s7",0,-188.74951861939
